source_pdf,rows_extracted,trip_count,non_empty_departure_time
FR-01_Backward.pdf,416,16,416
FR-01_Forward.pdf,289,17,289
FR-03A_Backward.pdf,1170,90,1170
FR-03A_Forward.pdf,1261,97,1261
FR-04A_Backward.pdf,224,32,224
FR-04A_Forward.pdf,231,33,231
FR-04_Backward.pdf,2425,97,2425
FR-04_Forward.pdf,2425,97,2425
FR-05_Backward.pdf,2702,193,2702
FR-05_Forward.pdf,2702,193,2702
FR-06_Backward.pdf,416,16,416
FR-06_Forward.pdf,442,17,442
FR-07_Backward.pdf,2162,94,2162
FR-07_Forward.pdf,2231,97,2231
FR-08A_Backward.pdf,1058,46,1058
FR-08A_Forward.pdf,4807,209,4807
FR-08C_Backward.pdf,1035,45,1035
FR-08C_Forward.pdf,1104,48,1104
FR-09_Backward.pdf,1701,63,1701
FR-09_Forward.pdf,1755,65,1755
FR-10_Backward.pdf,375,15,375
FR-10_Forward.pdf,475,19,475
FR-11_Backward.pdf,160,16,160
FR-11_Forward.pdf,190,19,190
FR-12_Backward.pdf,300,12,300
FR-12_Forward.pdf,300,12,300
FR-13_Backward.pdf,377,13,377
FR-13_Forward.pdf,377,13,377
FR-14A_Backward.pdf,945,63,945
FR-14A_Forward.pdf,910,65,910
FR-14_Backward.pdf,1098,61,1098
FR-14_Forward.pdf,1235,65,1235
FR-15_Backward.pdf,512,32,512
FR-15_Forward.pdf,528,33,528
FRB-01_Backward.pdf,3332,196,3332
FRB-01_Forward.pdf,2940,196,2940
FRG-1_Backward.pdf,2352,196,2352
FRG-1_Forward.pdf,1960,196,1960
ST-01_Backward.pdf,126,9,126
ST-01_Forward.pdf,117,9,117
ST-02_Backward.pdf,198,9,198
ST-02_Forward.pdf,171,9,171
Transit-Map-Islamabad-V-08.pdf,0,0,0
